asset_category,asset_subcategory,standardised_asset_type_name,asset_count,raw_asset_types,source_labels,contracts,assets_with_wkt_pct,assets_with_valid_au_coord_pct,assets_with_condition_pct,assets_with_criticality_pct,assets_with_risk_pct,assets_with_chainage_pct,assets_with_attributes_pct,assets_with_job_pct,assets_with_inspection_pct,assets_with_asset_photo_pct,chainage_length_km_proxy,job_count,inspection_count,capitalwork_count,attribute_rows,distinct_attribute_names,mapping_methods
Barriers / Safety Devices,Crash Cushions / End Treatments,Barrier End Terminal,188,Barrier End Terminal,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,98.9%,0.0%,0.0%,0.0%,100.0%,9.0%,100.0%,0.0%,0.0,20,628,0,2636,15,manual_asset_type_mapping_v5
Barriers / Safety Devices,Crash Cushions / End Treatments,Crash Cushion,135,Crash Cushions,RAMC / BAC / PoB / TSRC group,RAMC - Gen 2 - 2019-2024,100.0%,100.0%,0.0%,0.7%,0.0%,100.0%,100.0%,0.0%,0.0%,98.5%,0.0,0,0,0,135,1,manual_asset_type_mapping_v5
Barriers / Safety Devices,Crash Cushions / End Treatments,Impact Absorption Terminal,37,Impact Absorbtion Terminals,VicRoads,Western Roads Upgrade (WRU),100.0%,100.0%,48.6%,48.6%,0.0%,100.0%,100.0%,16.2%,29.7%,54.1%,0.0,8,12,0,185,5,manual_asset_type_mapping_v5
Barriers / Safety Devices,Fencing,Fence,465,Fences,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,84.7%,0.0%,0.0%,100.0%,100.0%,86.2%,98.7%,0.0%,0.0,2267,1753,0,23578,53,manual_asset_type_mapping_v5
Barriers / Safety Devices,Fencing,Fence Gate,153,Fence Gates,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,1.3%,100.0%,0.0%,0.0,3,603,0,2292,15,manual_asset_type_mapping_v5
Barriers / Safety Devices,Fencing,Fencing,358,Fencing,VicRoads,"Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Initial Rehabilitation Works (IRW), Western Roads Upgrade (WRU); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Western Roads Upgrade (WRU)",100.0%,100.0%,79.9%,91.1%,0.0%,100.0%,100.0%,36.0%,71.8%,62.6%,85.547,355,871,0,8786,27,manual_asset_type_mapping_v5
Barriers / Safety Devices,Railings,Railing,919,Railings,VNZ,Auckland West Transport,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.4%,0.0%,0.0%,0.0,5,0,0,35841,39,manual_asset_type_mapping_v5
Barriers / Safety Devices,Safety Barriers / Guardrail,Guardrail,307,Guardrail,RAMC / BAC / PoB / TSRC group,Brisbane Airport,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,6.2%,0.0%,0.0%,0.0,22,0,4,4298,13,manual_asset_type_mapping_v5
Barriers / Safety Devices,Safety Barriers / Guardrail,Road Barrier,605,Road Barrier,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,79.2%,0.0%,0.0%,100.0%,100.0%,7.4%,99.7%,0.0%,0.0,55,1864,0,34874,58,manual_asset_type_mapping_v5
Barriers / Safety Devices,Safety Barriers / Guardrail,Safety Barrier,4048,Safety Barrier,RMS; RMS new,"SRAP-C; SRAP-C OOC; SRAP-C, SRAP-C OOC",99.7%,99.7%,0.0%,0.0%,0.0%,100.0%,100.0%,33.2%,72.9%,6.2%,445.669,2345,3421,4,185423,46,manual_asset_type_mapping_v5
Barriers / Safety Devices,Safety Barriers / Guardrail,Vehicle Barrier,1242,Vehicle Barriers,VicRoads,"Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Initial Rehabilitation Works (IRW), Western Roads Upgrade (WRU); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Western Roads Upgrade (WRU)",100.0%,100.0%,81.0%,66.9%,0.0%,100.0%,100.0%,58.1%,65.1%,78.3%,3162.666,3139,3172,0,72233,68,manual_asset_type_mapping_v5
Barriers / Safety Devices,Safety Ramps / Arrestor Beds,Arrestor Bed,2,Arrestor Bed,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0,15,3,0,34,17,manual_asset_type_mapping_v5
Barriers / Safety Devices,Safety Ramps / Arrestor Beds,Safety Ramp,2,Safety Ramp,RMS; RMS new,SRAP-C,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0,8,22,0,48,25,manual_asset_type_mapping_v5
Communications / Monitoring,Communications Systems,Communication Node,94,Communication Node,VentureSmart,VentureSmart,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,92.6%,0.0%,0.0%,0.0,420,0,0,376,4,manual_asset_type_mapping_v5
Communications / Monitoring,Communications Systems,Data Communication System,12,Data Communication Systems,VNS,Sydney Harbour Tunnel (SHT),100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,852,71,manual_asset_type_mapping_v5
Communications / Monitoring,Communications Systems,Motorway Network Communication System,123,Motorway Network Communication System,VNS,Sydney Harbour Tunnel (SHT),100.0%,100.0%,98.4%,100.0%,0.0%,0.0%,100.0%,10.6%,52.0%,0.0%,0.0,13,397,0,9215,75,manual_asset_type_mapping_v5
Communications / Monitoring,Communications Systems,Voice Communication System,317,Voice Communication Systems,VNS,Sydney Harbour Tunnel (SHT),100.0%,100.0%,40.1%,21.1%,0.0%,0.0%,100.0%,4.1%,59.0%,0.0%,0.0,26,926,2,23472,78,manual_asset_type_mapping_v5
Communications / Monitoring,Fibre / Communications Conduits,Fibre,15,Fibre,VentureSmart,VentureSmart,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,60,4,manual_asset_type_mapping_v5
Communications / Monitoring,Fibre / Communications Conduits,ITS Conduit,603,ITS - Conduits,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,0.0%,0.0%,0.0%,99.8%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,27115,46,manual_asset_type_mapping_v5
Communications / Monitoring,Monitoring / Control Systems,Control and Monitoring System,37,Control and Monitorings,VNS,Sydney Harbour Tunnel (SHT),100.0%,100.0%,24.3%,64.9%,0.0%,0.0%,100.0%,8.1%,51.4%,0.0%,0.0,40,73,0,2572,71,manual_asset_type_mapping_v5
Communications / Monitoring,Monitoring / Control Systems,Kurloo Monitoring Point,11,Kurloo Monitoring points,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%,0.0%,0.0,0,118,0,22,2,manual_asset_type_mapping_v5
Communications / Monitoring,Monitoring / Control Systems,Operations Management Control System,78,Operations Management Control Systems,VNS,Sydney Harbour Tunnel (SHT),100.0%,100.0%,98.7%,98.7%,0.0%,0.0%,100.0%,6.4%,61.5%,5.1%,0.0,6,53,0,5832,75,manual_asset_type_mapping_v5
Communications / Monitoring,Monitoring / Control Systems,Plant Monitoring and Control System,146,Plant Monitoring and Control Systems,VNS,Sydney Harbour Tunnel (SHT),100.0%,100.0%,39.7%,91.1%,0.0%,0.0%,100.0%,11.6%,91.1%,0.0%,0.0,18,226,0,10314,71,manual_asset_type_mapping_v5
Communications / Monitoring,Monitoring / Control Systems,Warning System,150,Warning Systems,VentureSmart,VentureSmart,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,88.7%,0.0%,0.0%,0.0,515,0,0,600,4,manual_asset_type_mapping_v5
Communications / Monitoring,Surveillance Systems,Surveillance and Detection System,373,Surveillance and Detection Systems,VNS,Sydney Harbour Tunnel (SHT),100.0%,100.0%,70.8%,54.4%,0.0%,0.0%,100.0%,12.9%,85.5%,0.0%,0.0,41,1206,0,27343,83,manual_asset_type_mapping_v5
Drainage / Stormwater,Culverts / Watercourse Crossings,Bridge or Major Culvert,192,Bridge/Major Culvert,VicRoads,"Initial Rehabilitation Works (IRW); Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA); Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Initial Rehabilitation Works (IRW), Western Roads Upgrade (WRU); Proposed Work Applications (PWA); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Western Roads Upgrade (WRU)",100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,76.6%,72.9%,3.1%,0.0,4745,1929,295,21792,115,manual_asset_type_mapping_v5
Drainage / Stormwater,Culverts / Watercourse Crossings,Bridge-size Culvert,232,Bridge Size Culvert,RMS; RMS new,"SRAP-C; SRAP-C, SRAP-C OOC",100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,55.2%,97.4%,0.0%,0.0,238,762,0,22040,95,manual_asset_type_mapping_v5
Drainage / Stormwater,Culverts / Watercourse Crossings,Culvert,20936,Culvert,RAMC / BAC / PoB / TSRC group; RMS; RMS new; VNZ,"Auckland West Transport; Demo Contract, RAMC - Gen 2 - 2019-2024; RAMC - Gen 2 - 2019-2024; SRAP-C; SRAP-C OOC; SRAP-C, SRAP-C OOC",100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,4.7%,13.5%,2.2%,0.0,1478,3327,2,1996500,212,manual_asset_type_mapping_v5
Drainage / Stormwater,Culverts / Watercourse Crossings,Major Culvert,44,Major Culvert; Major Culverts,RAMC / BAC / PoB / TSRC group,Port of Brisbane; Toowoomba Second Range Crossing,100.0%,100.0%,11.4%,0.0%,0.0%,88.6%,100.0%,90.9%,81.8%,6.8%,0.0,101,84,0,3825,107,manual_asset_type_mapping_v5
Drainage / Stormwater,Culverts / Watercourse Crossings,Minor Culvert,2572,Minor Culvert; Minor Culverts,RAMC / BAC / PoB / TSRC group; VicRoads,"Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Initial Rehabilitation Works (IRW), Western Roads Upgrade (WRU); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Toowoomba Second Range Crossing; Western Roads Upgrade (WRU)",99.7%,99.7%,98.4%,76.3%,0.0%,100.0%,100.0%,30.4%,30.3%,20.3%,413.284,1115,1720,0,142336,109,manual_asset_type_mapping_v5
Drainage / Stormwater,Culverts / Watercourse Crossings,Watercourse Crossing,96,Water Course Crossings,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,864,9,manual_asset_type_mapping_v5
Drainage / Stormwater,Drains / Channels,Airside Drainage,1,Airside Drainage,RAMC / BAC / PoB / TSRC group,Brisbane Airport,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0,0,0,0,0,0,manual_asset_type_mapping_v5
Drainage / Stormwater,Drains / Channels,Drainage,1606,Drainage,RAMC / BAC / PoB / TSRC group,Brisbane Airport,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,1.5%,93.5%,98.9%,0.0,24,1547,13,19272,12,manual_asset_type_mapping_v5
Drainage / Stormwater,Drains / Channels,Drainage Line,5055,Drainage Lines,VicRoads,"Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Western Roads Upgrade (WRU)",100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.2%,0.0%,0.0%,455.948,10,0,0,86344,23,manual_asset_type_mapping_v5
Drainage / Stormwater,Drains / Channels,Drainage System,612,Drainage Systems,VNS,Sydney Harbour Tunnel (SHT),100.0%,100.0%,97.1%,0.3%,0.0%,0.0%,100.0%,2.6%,81.7%,0.0%,0.0,15,1343,3,50116,82,manual_asset_type_mapping_v5
Drainage / Stormwater,Drains / Channels,Open Drainage,38,Open Drainage,RMS; RMS new,SRAP-C,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,4.13,0,0,0,1482,40,manual_asset_type_mapping_v5
Drainage / Stormwater,Drains / Channels,Subsoil Drain,2607,Subsoil Drains,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,37.4%,0.0%,0.0%,100.0%,100.0%,2.3%,100.0%,0.0%,0.0,63,5845,0,91565,37,manual_asset_type_mapping_v5
Drainage / Stormwater,Drains / Channels,Subsoil Drain Outlet,1634,Subsoil Drain Outlets,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,99.9%,0.0%,0.0%,0.0%,100.0%,0.2%,100.0%,0.0%,0.0,4,3324,0,24510,15,manual_asset_type_mapping_v5
Drainage / Stormwater,Drains / Channels,Table Drain,1364,Table Drain,RAMC / BAC / PoB / TSRC group; VicRoads,"Brisbane Airport; Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Initial Rehabilitation Works (IRW), Western Roads Upgrade (WRU); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); RAMC - Gen 2 - 2019-2024; Western Roads Upgrade (WRU)",100.0%,100.0%,62.2%,60.3%,0.0%,65.6%,100.0%,42.6%,68.9%,51.9%,2.2,800,2090,0,18828,51,manual_asset_type_mapping_v5
Drainage / Stormwater,Drains / Channels,Table Drain - AGAZ,826,Table Drain-AGAZ,RAMC / BAC / PoB / TSRC group,RAMC - Gen 2 - 2019-2024,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,394.891,0,0,0,24772,29,manual_asset_type_mapping_v5
Drainage / Stormwater,Drains / Channels,Table Drain - GAZ,1757,Table Drain-GAZ,RAMC / BAC / PoB / TSRC group,RAMC - Gen 2 - 2019-2024,100.0%,100.0%,0.1%,0.1%,0.0%,100.0%,100.0%,9.9%,0.0%,37.2%,816.212,277,0,0,54471,31,manual_asset_type_mapping_v5
Drainage / Stormwater,Drains / Channels,Table Drain - TSRC,1750,Table Drain (TSRC),RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,99.9%,0.0%,0.0%,100.0%,100.0%,31.2%,97.2%,0.0%,0.0,669,5911,0,104187,60,manual_asset_type_mapping_v5
Drainage / Stormwater,Drains / Channels,Trench Drain,1,Trench Drain,RAMC / BAC / PoB / TSRC group,RAMC - Gen 2 - 2019-2024,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,100.0%,0.0,0,0,0,5,5,manual_asset_type_mapping_v5
Drainage / Stormwater,Pipes / Valves,Penstock,1,Penstock,RAMC / BAC / PoB / TSRC group,Port of Brisbane,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0,3,0,0,0,0,manual_asset_type_mapping_v5
Drainage / Stormwater,Pipes / Valves,Pipe,3632,Pipe,RAMC / BAC / PoB / TSRC group,"Demo Contract, RAMC - Gen 2 - 2019-2024; RAMC - Gen 2 - 2019-2024",100.0%,100.0%,0.1%,0.0%,0.0%,100.0%,100.0%,28.2%,1.1%,84.7%,0.0,2012,40,1,187625,58,manual_asset_type_mapping_v5
Drainage / Stormwater,Pipes / Valves,Valve,5,Valves,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,25,5,manual_asset_type_mapping_v5
Drainage / Stormwater,Pits / Inlets,Field Inlet,397,Field Inlet,RAMC / BAC / PoB / TSRC group,"Demo Contract; Demo Contract, RAMC - Gen 2 - 2019-2024; RAMC - Gen 2 - 2019-2024",100.0%,100.0%,0.5%,0.0%,0.0%,100.0%,100.0%,36.0%,0.0%,90.7%,0.0,409,0,0,9131,23,manual_asset_type_mapping_v5
Drainage / Stormwater,Pits / Inlets,Gully Pit,4659,Gully Pit,RAMC / BAC / PoB / TSRC group,"Demo Contract; Demo Contract, RAMC - Gen 2 - 2019-2024; RAMC - Gen 2 - 2019-2024",100.0%,100.0%,0.1%,0.0%,0.0%,100.0%,100.0%,32.0%,0.0%,93.6%,0.0,6150,0,0,102498,22,manual_asset_type_mapping_v5
Drainage / Stormwater,Pits / Inlets,Pit,27321,Pit,RAMC / BAC / PoB / TSRC group; VicRoads,"Initial Rehabilitation Works (IRW), Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Initial Rehabilitation Works (IRW), Western Roads Upgrade (WRU); Proposed Work Applications (PWA), Western Roads Upgrade (WRU); Toowoomba Second Range Crossing; Western Roads Upgrade (WRU)",100.0%,100.0%,85.7%,68.2%,0.0%,100.0%,100.0%,19.1%,29.8%,28.3%,0.0,14737,15753,3,1172816,88,manual_asset_type_mapping_v5
Drainage / Stormwater,Pollution / Debris Capture,Gross Pollutant Trap,20,Gross Pollutant Traps,RAMC / BAC / PoB / TSRC group,Port of Brisbane,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,95.0%,0.0%,0.0%,0.0,40,0,0,80,4,manual_asset_type_mapping_v5
Drainage / Stormwater,Pollution / Debris Capture,Spill Capture,5,Spill Captures,RAMC / BAC / PoB / TSRC group,Port of Brisbane,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0,9,0,0,15,3,manual_asset_type_mapping_v5
Drainage / Stormwater,Pollution / Debris Capture,Trash Rack,14,Trash Racks,RAMC / BAC / PoB / TSRC group,Port of Brisbane,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0,79,0,0,56,4,manual_asset_type_mapping_v5
Drainage / Stormwater,Pumps / Hydraulic Controls,Hydraulic Treatment and Pumping System,66,Hydraulic Treatment and Pumping Systems,VNS,Sydney Harbour Tunnel (SHT),100.0%,100.0%,74.2%,28.8%,0.0%,0.0%,100.0%,47.0%,83.3%,0.0%,0.0,83,904,1,5124,78,manual_asset_type_mapping_v5
Drainage / Stormwater,Pumps / Hydraulic Controls,Pump Station,2,Pump Station,RMS; RMS new,SRAP-C,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,100.0%,0.0,4,64,0,94,47,manual_asset_type_mapping_v5
Drainage / Stormwater,Rain Gardens,Stormwater Rain Garden,169,SW Rain Gardens,VNZ,Auckland West Transport,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,1014,6,manual_asset_type_mapping_v5
Drainage / Stormwater,Stormwater Systems / Treatment,Stormwater,18596,Storm Waters,VNZ,Auckland West Transport,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.3%,0.0%,0.0%,0.0,60,0,0,92980,5,manual_asset_type_mapping_v5
Drainage / Stormwater,Stormwater Systems / Treatment,Stormwater Quality Improvement,62,Stormwater Quality Improvement,RMS; RMS new,SRAP-C,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,96.8%,100.0%,3.2%,0.0,170,240,0,1684,28,manual_asset_type_mapping_v5
Earthworks / Geotechnical,Slopes / Embankments,Embankment,168,Embankments,VicRoads,Western Roads Upgrade (WRU),100.0%,100.0%,100.0%,100.0%,0.0%,100.0%,100.0%,4.8%,11.9%,63.7%,0.0,9,32,0,840,5,manual_asset_type_mapping_v5
Earthworks / Geotechnical,Slopes / Embankments,Embankment Monitoring,721,Embankment Monitoring,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,2.4%,56.7%,0.0%,0.0,17,655,0,26476,40,manual_asset_type_mapping_v5
Earthworks / Geotechnical,Slopes / Embankments,Slope,2220,Slope,RAMC / BAC / PoB / TSRC group; RMS; RMS new,"SRAP-C; SRAP-C OOC; SRAP-C, SRAP-C OOC; Toowoomba Second Range Crossing",98.8%,98.8%,11.3%,0.1%,0.0%,100.0%,100.0%,15.4%,79.4%,0.7%,398.337,454,3284,7,102632,116,manual_asset_type_mapping_v5
Environment / Monitoring,Air Monitoring,Air Monitoring System,27,Air Monitoring Systems,VNS,Sydney Harbour Tunnel (SHT),100.0%,100.0%,100.0%,33.3%,0.0%,0.0%,100.0%,25.9%,55.6%,0.0%,0.0,8,114,0,2025,75,manual_asset_type_mapping_v5
Environment / Monitoring,Water Quality,Water Quality,32,Water Quality,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,43.8%,100.0%,0.0%,0.0,19,64,0,2496,78,manual_asset_type_mapping_v5
Facilities / Buildings,Building Components,Door and Frame,4,Doors and Frames,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0,20,0,0,24,6,manual_asset_type_mapping_v5
Facilities / Buildings,Buildings / Depots,Building,2,Building; Buildings,RAMC / BAC / PoB / TSRC group; VNS,Sydney Harbour Tunnel (SHT); Toowoomba Second Range Crossing,100.0%,100.0%,0.0%,50.0%,0.0%,50.0%,100.0%,50.0%,50.0%,0.0%,0.0,10,27,0,130,129,manual_asset_type_mapping_v5
Facilities / Buildings,Buildings / Depots,Depot,9,Depot,RMS; RMS new; VNZ,Auckland West Transport; SRAP-C,100.0%,100.0%,0.0%,0.0%,0.0%,11.1%,88.9%,100.0%,0.0%,0.0%,0.0,7968,0,0,24,4,manual_asset_type_mapping_v5
Facilities / Buildings,Buildings / Depots,Disaster Recovery Building,12,Disaster recovery building,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,36,3,manual_asset_type_mapping_v5
Facilities / Buildings,Buildings / Depots,Other Building Asset,1,Other Building Assets,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,1,1,manual_asset_type_mapping_v5
Facilities / Buildings,Control Rooms,TCC Operation Room,14,TCC Operation Room,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,42,3,manual_asset_type_mapping_v5
Facilities / Buildings,Control Rooms,TCC Server Room,22,TCC Server Room,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,13.6%,9.1%,0.0%,0.0,3,5,0,70,5,manual_asset_type_mapping_v5
Facilities / Buildings,Yards / Wash Bays,Compound Yard/Outer Grounds,1,Compound Yard/Outer Grounds,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0,5,0,0,1,1,manual_asset_type_mapping_v5
Facilities / Buildings,Yards / Wash Bays,Wash Bay,1,Wash Bay,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0,2,4,0,0,0,manual_asset_type_mapping_v5
Footpath / Pedestrian / Access,Access Points,Access Point,34,AP - Access Points,RMS; RMS new,SRAP-C,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,11.8%,0.0%,0.0%,0.0,18,0,0,2244,68,manual_asset_type_mapping_v5
Footpath / Pedestrian / Access,Access Ramps,Boat Ramp,3,Boat Ramps,RAMC / BAC / PoB / TSRC group,Port of Brisbane,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0,19,0,0,3,1,manual_asset_type_mapping_v5
Footpath / Pedestrian / Access,Crossings,Crossing,16629,Crossings,VNZ,Auckland West Transport,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0,1,0,0,731676,44,manual_asset_type_mapping_v5
Footpath / Pedestrian / Access,Crossings,Vehicle Crossing,8,Vehicle Crossings,RAMC / BAC / PoB / TSRC group; VNZ,Auckland West Transport; Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,100.0%,100.0%,50.0%,50.0%,0.0%,0.0,4,7,0,252,32,manual_asset_type_mapping_v5
Footpath / Pedestrian / Access,Cycleways,Cycleway,2,Cycleway,RMS; RMS new,SRAP-C,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,100.0%,0.0%,6.84,16,2,0,72,36,manual_asset_type_mapping_v5
Footpath / Pedestrian / Access,Footpaths / Pathways,Footpath,10184,Footpath; Footpaths,RAMC / BAC / PoB / TSRC group; VNZ,Auckland West Transport; Brisbane Airport,100.0%,100.0%,0.0%,0.0%,0.0%,93.8%,100.0%,0.8%,0.3%,0.0%,0.0,95,28,5,436894,55,manual_asset_type_mapping_v5
Footpath / Pedestrian / Access,Footpaths / Pathways,Pathway,190,Pathway; Pathways,RAMC / BAC / PoB / TSRC group; VicRoads,Toowoomba Second Range Crossing; Western Roads Upgrade (WRU),100.0%,100.0%,98.4%,87.9%,0.0%,95.8%,100.0%,75.8%,98.4%,4.2%,23.576,631,761,0,5211,72,manual_asset_type_mapping_v5
ITS / Traffic Control,Bluetooth / Tolling,Bluetooth Beacon,829,Bluetooth Beacon,VentureSmart,VentureSmart,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,100.0%,89.4%,0.0%,0.0%,0.0,3020,0,0,3316,4,manual_asset_type_mapping_v5
ITS / Traffic Control,Bluetooth / Tolling,Bluetooth Device,10,ITS - Bluetooth Device,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0,0,0,0,100,10,manual_asset_type_mapping_v5
ITS / Traffic Control,Bluetooth / Tolling,Tolling Point,1,ITS - Tolling Point,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0,1,0,0,8,8,manual_asset_type_mapping_v5
ITS / Traffic Control,Cameras / CCTV,Closed Circuit Television,1041,Close Circuit Television; ITS - CCTV,RAMC / BAC / PoB / TSRC group; VentureSmart,Toowoomba Second Range Crossing; VentureSmart,100.0%,100.0%,1.9%,0.0%,0.0%,0.0%,100.0%,78.7%,1.9%,0.0%,0.0,3799,187,0,4284,14,manual_asset_type_mapping_v5
ITS / Traffic Control,Cameras / CCTV,QPS Camera,10,ITS - QPS Camera,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,10.0%,0.0%,0.0%,0.0,1,0,0,110,11,manual_asset_type_mapping_v5
ITS / Traffic Control,Cameras / CCTV,Webcam,4,ITS - Webcam,RAMC / BAC / PoB / TSRC group,Toowoomba Second Range Crossing,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,100.0%,25.0%,0.0%,0.0%,0.0,1,0,0,40,10,manual_asset_type_mapping_v5
